Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2002F,Y2003,Y2003F,Y2004,Y2004F,Y2005,Y2005F,Y2006,Y2006F,Y2007,Y2007F,Y2008,Y2008F,Y2009,Y2009F,Y2010,Y2010F,Y2011,Y2011F,Y2012,Y2012F,Y2013,Y2013F,Y2014,Y2014F,Y2015,Y2015F,Y2016,Y2016F,Y2017,Y2017F
"3","Albania","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","12384.330000","Qm","10195.180000","Qm","17409.120000","Qm","13409.710000","Qm","10912.350000","Qm","11229.470000","Qm","10585.700000","Qm","9517.580000","Qm","6471.310000","Qm","9178.620000","Qm","9136.350000","Qm","11770.900000","Qm","12000.720000","Qm","9045.930000","Qm","18452.850000","Qm","1104.320000","Qm"
"3","Albania","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","7.200000","Qm","5.200000","Qm","46.000000","Qm","352.190000","A","80.900000","Qm","51.950000","Fm","23.000000","Qm","23.000000","Qm","87.340000","Qm","802.440000","Qm","54.350000","Qm","11.560000","Qm","9.340000","Fm","7.130000","Fm","4.910000","Qm","4.910000","E"
"3","Albania","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","18187.020000","E","20028.400000","E","22322.820000","E","23135.830000","E","19632.710000","E","19297.120000","E","17990.540000","E","20852.740000","E","21633.440000","E","23341.220000","E","22165.380000","E","22906.470000","E","22906.540000","E","28725.330000","E","34544.120000","E","21263.690000","E"
"3","Albania","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.000000","Qm"
"3","Albania","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","339.080000","Qm","88.140000","Qm","261.480000","Qm","791.630000","Qm","833.790000","Qm","1241.850000","Qm","1444.140000","Qm","696.850000","Qm","1514.120000","Qm","2498.370000","Qm","1147.750000","Qm","1259.290000","Qm","1041.700000","Qm","1859.060000","Qm","1932.490000","Qm","1038.000000","Qm"
"3","Albania","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","Qm","0.000000","Qm","0.000000","Qm","0.750000","A","10.000000","Qm","5.000000","Fm","0.000000","Qm","0.000000","Qm","32.660000","Qm","13.320000","Qm","14.850000","Qm","11.560000","Qm","9.340000","Fm","7.130000","Fm","4.910000","Qm","4.910000","E"
"3","Albania","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","0.000000","E","0.000000","E","113.100000","E","111.450000","E","142.050000","E","325.800000","E","423.600000","E","247.500000","E","299.100000","E","370.200000","E","504.900000","E","792.000000","E","792.000000","E","797.750000","E","803.500000","E","634.250000","E"
"4","Algeria","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","72600.000000","Qm","99660.000000","Qm","153790.000000","Qm","83100.000000","Qm","27440.000000","Qm","137780.000000","Qm","11040.000000","Qm","13400.000000","Fm","20800.000000","Fm","19500.000000","Fm","24500.000000","Fm","68000.000000","Fm","438300.000000","Fm","777600.000000","Fm","1043200.000000","Fm","1043200.000000","Fm"
"4","Algeria","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","35774.530000","Qm","43121.170000","Qm","45618.250000","Qm","33775.380000","Qm","36120.900000","Qm","24059.790000","A","26481.770000","Qm","43046.450000","Qm","58610.000000","Qm","51518.550000","A","66009.620000","A","53005.090000","A","55420.790000","Qm","60966.200000","Qm","36635.090000","A","34873.930000","A"
"4","Algeria","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","149439.330000","Qm","185007.190000","Qm","149703.070000","Qm","198614.960000","Qm","88569.500000","Qm","73377.840000","Qm","68094.450000","Qm","68510.070000","Qm","96367.620000","Qm","91527.570000","Qm","111143.680000","Qm","53484.880000","Qm","437933.930000","Qm","765725.920000","Qm","1097907.320000","Qm","706437.070000","Qm"
"4","Algeria","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","28036.000000","Fb","17076.000000","Fb","104717.000000","Fb","4086.000000","Fb","43847.000000","Fb","36626.000000","Fb","23102.000000","Fb","37100.000000","Fm","60100.000000","Fm","56300.000000","Fm","72600.000000","Fm","64000.000000","Fm","76500.000000","Fm","74400.000000","Fm","70200.000000","Fm","70200.000000","Fm"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","23000.000000","Qm","5980.000000","Qm","53550.000000","Qm","20430.000000","Qm","24310.000000","Qm","42610.000000","Qm","11580.000000","Qm","17400.000000","Fm","22800.000000","Fm","25000.000000","Fm","31200.000000","Fm","27800.000000","Fm","31900.000000","Fm","28200.000000","Fm","32400.000000","Fm","32400.000000","Fm"
