Area Code,Area,Item Code,Item,Element Code,Element,Unit,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
"3","Albania","3104","Nutrient potash K2O (total)","5610","Import Quantity","tonnes","339.080000","88.140000","261.480000","791.630000","833.790000","1241.850000","1444.140000","696.850000","1514.120000","2498.370000","1147.750000","1259.290000","1041.700000","1859.060000","1932.490000","1038.000000"
"3","Albania","3104","Nutrient potash K2O (total)","5910","Export Quantity","tonnes","0.000000","0.000000","0.000000","0.750000","10.000000","5.000000","0.000000","0.000000","32.660000","13.320000","14.850000","11.560000","9.340000","7.130000","4.910000","4.910000"
"3","Albania","3104","Nutrient potash K2O (total)","5157","Agricultural Use","tonnes","0.000000","0.000000","113.100000","111.450000","142.050000","325.800000","423.600000","247.500000","299.100000","370.200000","504.900000","792.000000","792.000000","797.750000","803.500000","634.250000"
"4","Algeria","3102","Nutrient nitrogen N (total)","5510","Production","tonnes","72600.000000","99660.000000","153790.000000","83100.000000","27440.000000","137780.000000","11040.000000","13400.000000","20800.000000","19500.000000","24500.000000","68000.000000","438300.000000","777600.000000","1043200.000000","1043200.000000"
"4","Algeria","3102","Nutrient nitrogen N (total)","5610","Import Quantity","tonnes","35774.530000","43121.170000","45618.250000","33775.380000","36120.900000","24059.790000","26481.770000","43046.450000","58610.000000","51518.550000","66009.620000","53005.090000","55420.790000","60966.200000","36635.090000","34873.930000"
"4","Algeria","3102","Nutrient nitrogen N (total)","5910","Export Quantity","tonnes","149439.330000","185007.190000","149703.070000","198614.960000","88569.500000","73377.840000","68094.450000","68510.070000","96367.620000","91527.570000","111143.680000","53484.880000","437933.930000","765725.920000","1097907.320000","706437.070000"
"4","Algeria","3102","Nutrient nitrogen N (total)","5157","Agricultural Use","tonnes","28036.000000","17076.000000","104717.000000","4086.000000","43847.000000","36626.000000","23102.000000","37100.000000","60100.000000","56300.000000","72600.000000","64000.000000","76500.000000","74400.000000","70200.000000","70200.000000"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5510","Production","tonnes","23000.000000","5980.000000","53550.000000","20430.000000","24310.000000","42610.000000","11580.000000","17400.000000","22800.000000","25000.000000","31200.000000","27800.000000","31900.000000","28200.000000","32400.000000","32400.000000"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5610","Import Quantity","tonnes","21485.890000","23012.640000","16241.860000","16854.580000","10044.860000","12819.720000","5718.500000","32367.060000","30986.210000","26138.290000","36665.380000","46330.840000","51550.190000","41340.890000","28505.480000","30603.830000"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5910","Export Quantity","tonnes","1.450000","0.000000","30406.000000","3408.000000","14.230000","1384.000000","2320.530000","18.000000","6.000000","1380.000000","3.000000","9.000000","0.000000","0.000000","0.000000","0.000000"
"4","Algeria","3103","Nutrient phosphate P2O5 (total)","5157","Agricultural Use","tonnes","23463.000000","6377.000000","57820.000000","32499.000000","31784.000000","52394.000000","20760.000000","48800.000000","32800.000000","36500.000000","57500.000000","71300.000000","78000.000000","63200.000000","58800.000000","58800.000000"
"4","Algeria","3104","Nutrient potash K2O (total)","5510","Production","tonnes","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000"
